[2025-06-15 13:19:07] [INFO] Rules loaded successfully
[2025-06-15 13:19:07] [INFO] Process rules loaded successfully
[2025-06-15 13:19:07] [INFO] Bad hashes loaded successfully
[2025-06-15 13:19:15] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:15] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:15] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:15] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:15] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:15] [ALERT] Blacklisted process detected: Notepad.exe (PID: 2096)
[2025-06-15 13:19:17] [INFO] [TCP_PACKET] IP Packet: 192.168.1.100 -> 34.237.73.95 [TCP 10738 -> 443] [Flags: PSH ACK ]
[2025-06-15 13:19:17] [INFO] [TCP_PACKET] IP Packet: 34.237.73.95 -> 192.168.1.100 [TCP 443 -> 10738] [Flags: PSH ACK ]
[2025-06-15 13:19:17] [INFO] [TCP_PACKET] IP Packet: 192.168.1.100 -> 34.237.73.95 [TCP 10738 -> 443] [Flags: ACK ]
[2025-06-15 13:19:17] [INFO] [ARP_PACKET] ARP 192.168.1.1 (A8:6E:84:73:4F:EA) -> 192.168.1.100 (00:00:00:00:00:00)
[2025-06-15 13:19:17] [INFO] [ARP_PACKET] ARP 192.168.1.100 (A8:41:F4:4A:5F:6B) -> 192.168.1.1 (A8:6E:84:73:4F:EA)
[2025-06-15 13:19:19] [INFO] [TCP_PACKET] IP Packet: 157.240.1.63 -> 192.168.1.100 [TCP 443 -> 14331] [Flags: PSH ACK ]
[2025-06-15 13:19:19] [INFO] [TCP_PACKET] IP Packet: 192.168.1.100 -> 157.240.1.63 [TCP 14331 -> 443] [Flags: ACK ]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 192.168.1.100 -> 103.225.178.172 [UDP 50425 -> 443]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
[2025-06-15 13:19:19] [INFO] [UDP_PACKET] IP Packet: 103.225.178.172 -> 192.168.1.100 [UDP 443 -> 50425]
